concept,family,classification,justification,required_missing_capability,closest_supported_substitute,composition_constraint_needed,composition_constraint_note,priority_unlock
weighted_centroid,Spatial geometry and topological relations,supported,Centroid with weights is a generalization of defensive_outfield_centroid; mean over weighted positions composes from existing aggregation.,,defensive_outfield_centroid + weighted aggregation,False,,MED
ball_crosses_unit,"Lines, gaps, penetration, and structural breaks",supported,Ball passing beyond a ranked line is multi_line_model + relative_position_to_line change across the leg; controlled_line_break_episode / receiver_line_transition_during_pass_leg cover ball-crossing-line.,,multi_line_model + relative_position_to_line + controlled_line_break_episode,False,,HIGH
controlled_line_break,"Lines, gaps, penetration, and structural breaks",supported,Directly controlled_line_break_episode.,,controlled_line_break_episode,False,,HIGH
gap_closing_episode,"Lines, gaps, penetration, and structural breaks",missing_primitive,Dynamics of a named gap narrowing requires explicit gap-width measurement over time; catalog has no gap_model. Calibration: named gap dynamics = missing_primitive (gap_model).,gap_model (gap width dynamics),pairwise_distance between adjacent defenders + change_across_anchor (proxy),False,,MED
gap_control_margin,"Lines, gaps, penetration, and structural breaks",missing_primitive,Margin by which a defender can close a gap mixes gap geometry with reachability; needs gap_model and/or time_to_arrival.,gap_model + time_to_arrival,pairwise_distance + velocity (kinematic proxy only),False,,LOW
gap_depth,"Lines, gaps, penetration, and structural breaks",partial_with_typed_gap,"Longitudinal extent between lines is the inter-line spacing readable from multi_line_model line heights; the depth of a between-lines pocket is partial via lines, but a declared gap depth metric is the gap_model.",gap_model (explicit depth),multi_line_model (inter-line height delta),True,,MED
gap_exploitation_episode,"Lines, gaps, penetration, and structural breaks",missing_primitive,Exploiting a gap requires identifying and measuring the named gap then a player/ball entering it; needs gap_model. Calibration: gap opening/exploitation = missing_primitive.,gap_model,controlled_line_break_episode + relation_destination_entry (between-lines proxy),False,,MED
gap_opening_episode,"Lines, gaps, penetration, and structural breaks",missing_primitive,A gap opening = gap-width increasing over time; requires gap_model explicit width measurement.,gap_model,pairwise_distance between adjacent defenders + change_across_anchor (proxy),False,,MED
gap_width,"Lines, gaps, penetration, and structural breaks",missing_primitive,Explicit lateral gap width between adjacent unit members is the core gap measurement absent from the catalog. Calibration: gap WIDTH = missing_primitive (gap_model).,gap_model (gap width),"pairwise_distance between adjacent same-line defenders (raw proxy, no gap semantics)",False,,MED
inter_unit_gap,"Lines, gaps, penetration, and structural breaks",partial_with_typed_gap,"Spacing between two specific ranked lines is the inter-line height delta from multi_line_model (supported as spacing), but as a navigable 'gap' with width/depth semantics it needs gap_model. Calibration: between-lines via multi_line lines = partial.",gap_model (for gap semantics beyond line spacing),multi_line_model (inter-line spacing),True,,MED
intra_unit_gap,"Lines, gaps, penetration, and structural breaks",missing_primitive,Gap between two adjacent players within the same line is exactly the lateral gap-width measurement that requires gap_model; pairwise_distance gives raw spacing without gap identification.,gap_model (within-line gap),pairwise_distance between adjacent same-line defenders (proxy),False,,MED
line_break_mode,"Lines, gaps, penetration, and structural breaks",partial_with_typed_gap,"Classifying HOW a line was broken (pass vs carry vs dribble through gap) is partially supported: controlled_line_break_episode plus action_event_anchor/action_chain distinguishes pass vs carry, but a 'through-gap vs around' mode needs gap_model.",gap_model (for around-vs-through-gap distinction),controlled_line_break_episode + action_event_anchor (pass/carry typing),True,,MED
line_break_receiver_state,"Lines, gaps, penetration, and structural breaks",supported,State of the receiver beyond a broken line is receiver_line_transition_during_pass_leg + relative_position_to_line + multi_line_model; calibration: receiver-beyond-2nd-line = supported.,,receiver_line_transition_during_pass_leg + multi_line_model + relative_position_to_line,False,,HIGH
line_fixing_candidate,"Lines, gaps, penetration, and structural breaks",partial_with_typed_gap,"Fixing/pinning a line (preventing it stepping/shifting) is partly observable as absence of line_shift/line_step under an attacking presence, but attributing the 'fixing' intent/cause needs a role/reference or causal model.",role_or_reference (fixer attribution) / causal model,multi_line_model line-height stability + relative_position_to_line of the fixer,True,,LOW
line_recovery_after_break,"Lines, gaps, penetration, and structural breaks",supported,Line re-forming after a break is change_across_anchor on multi_line_model line integrity/height following a controlled_line_break_episode anchor.,,controlled_line_break_episode (anchor) + multi_line_model + change_across_anchor,True,,MED
number_of_units_broken,"Lines, gaps, penetration, and structural breaks",supported,Counting how many ranked lines an action passes is multi_line_model + relative_position_to_line before/after + count; opponents_bypassed_by_action aligns.,,multi_line_model + change_across_anchor + count,False,,HIGH
penetration_depth,"Lines, gaps, penetration, and structural breaks",supported,How far beyond a line the ball/receiver advances is relative_position_to_line longitudinal margin against the multi_line_model last line.,,relative_position_to_line + multi_line_model,False,,HIGH
penetration_retention,"Lines, gaps, penetration, and structural breaks",supported,Keeping possession after penetrating a line is action_chain (same-possession) continuing past a controlled_line_break_episode with outcome_classification; does not bridge turnover (consistent with action_chain).,,controlled_line_break_episode + action_chain + outcome_classification,False,,MED
penetration_support_response,"Lines, gaps, penetration, and structural breaks",supported,Support arriving behind the ball after penetration is support_arrival_relation (BEHIND_BALL_OUTLET) sequenced after the break anchor.,,controlled_line_break_episode + support_arrival_relation,False,,MED
